Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
53,Exit short,03/02/2026 14:45,Exit Short 15M,183.18,1,186.21,2.22,1.63,0,2.51,1.84,-0.04,-0.03,2.85,0.29,1
53,Entry short,03/02/2026 14:30,Short 15M,186.21,1,186.21,2.22,1.63,0,2.51,1.84,-0.04,-0.03,2.85,0.29,1
54,Exit short,04/02/2026 14:30,Exit Short 15M,178.16,1,180.36,1.61,1.22,0,1.61,1.22,-0.23,-0.18,4.46,0.45,5
54,Entry short,04/02/2026 13:15,Short 15M,180.36,1,180.36,1.61,1.22,0,1.61,1.22,-0.23,-0.18,4.46,0.45,5
55,Exit short,05/02/2026 12:45,Exit Short 15M,173.41,1,177,2.63,2.03,0,2.63,2.03,-0.2,-0.15,7.09,0.71,5
55,Entry short,05/02/2026 11:30,Short 15M,177,1,177,2.63,2.03,0,2.63,2.03,-0.2,-0.15,7.09,0.71,5
56,Exit short,05/02/2026 21:00,Exit Short 15M,173.47,1,172.26,-0.89,-0.7,0,0.9,0.71,-0.89,-0.7,6.2,0.62,2
56,Entry short,05/02/2026 20:30,Short 15M,172.26,1,172.26,-0.89,-0.7,0,0.9,0.71,-0.89,-0.7,6.2,0.62,2
57,Exit long,06/02/2026 11:15,Exit Long 15M,177.54,1,174.33,2.37,1.84,0,2.56,1.99,-0.1,-0.07,8.57,0.86,8
57,Entry long,06/02/2026 09:15,Long 15M,174.33,1,174.33,2.37,1.84,0,2.56,1.99,-0.1,-0.07,8.57,0.86,8
58,Exit long,09/02/2026 13:30,Exit Long 15M,184.23,1,184.88,-0.48,-0.35,0,0.24,0.18,-0.48,-0.35,8.1,0.81,1
58,Entry long,09/02/2026 13:15,Long 15M,184.88,1,184.88,-0.48,-0.35,0,0.24,0.18,-0.48,-0.35,8.1,0.81,1
59,Exit long,10/02/2026 11:15,Exit Long 15M,190.8,1,191.15,-0.26,-0.18,0,0.21,0.15,-0.29,-0.21,7.84,0.78,8
59,Entry long,10/02/2026 09:15,Long 15M,191.15,1,191.15,-0.26,-0.18,0,0.21,0.15,-0.29,-0.21,7.84,0.78,8
60,Exit short,11/02/2026 11:00,Exit Short 15M,188.88,1,188.44,-0.32,-0.23,0,0.32,0.23,-0.32,-0.23,7.52,0.75,5
